"Row" "BootToDesktop" "DesktopToIdle" "BootToIdle"
"12167" 8.713 3.413 42.493
"12168" 8.91 3.24 50.74
"12169" 80.877 7.743 88.19
"12170" 9.243 3.8 51.513
"12171" 60.333 3.517 94.73
"12172" 8.653 3.667 45.05
"12173" 8.91 3.53 43.46
"12174" 8.897 3.48 48.907
"12175" 8.81 3.547 44.88
"12176" 10.78 2.83 60.75
"12177" 8.3 3.604 43.897
"12178" 8.987 3.233 48.5
"12179" 10.787 3.56 52.977
"12180" 9.56 4.07 56.943
"12181" 8.297 3.826 46.26
"12182" 8.34 3.777 58.927
"12183" 9.466 3.917 47.433
"NA.543" NA NA NA
"12185" 9.903 3.437 54.383
"12186" 8.68 3.743 54.6
"12187" 9.004 176.43 50.267
"12188" 9.72 3.433 47.683
"12189" 8.827 3.43 42.85
"12190" 8.957 3.26 42.747
"12191" 8.394 4.353 45.667
"12192" 9.587 3.757 45.597
"12193" 9.66 3.767 41.18
"12194" 8.67 5.65 44.417
"12195" 8.59 177 49.053
"12196" 9.27 2.933 41.14
"12197" 10.367 3.413 60.69
"12198" 10.114 3.936 52.527
"12199" 10.127 3.23 55.287
"12200" 8.83 4.627 45.8
"12201" 8.33 3.793 50.09
"12202" 10.04 3.63 68.667
"12203" 9.443 4.634 46.14
"12204" 9.35 4.12 48.273
"12205" 8.467 3.836 42.62
"12206" 9.047 4.086 43.99
"12207" 9.303 3.88 43.38
"12208" 9.89 3.486 43.753
"12209" 9.673 3.594 49.83
"12210" 10.32 3.26 48.23
"12211" 8.71 3.81 51.17
"12212" 9.97 3.493 49.053
"NA.544" NA NA NA
"12214" 10.17 3.22 56.877
"12215" 8.92 6.65 50.68
"12216" 10.623 3.017 48.37
"12217" 8.667 3.44 41.96
"12218" 9.937 3.503 45.167
"12219" 9.897 3.433 68.057
"12220" 8.134 4.076 41.987
"12221" 8.317 3.95 47.3
"12222" 9.016 3.727 40.983
"12223" 9.24 5.84 42.83
"12224" 9.553 3.78 52.07
"12225" 10.48 3.697 50.25
"12226" 8.757 3.503 45.93
"12227" 8.04 3.943 48.68
"12228" 8.686 3.39 41.283
"12229" 8.233 3.183 43.663
"12230" 8.71 3.237 51.91
"12231" 10.487 3.563 55.62
"12232" 8.893 3.633 50.373
"12233" 9.424 4.063 42.357
"12234" 60.883 3.977 96.643
"12235" 9.147 3.356 53.04
"12236" 10.607 3.643 53.16
"12237" 8.483 3.73 44.69
"12238" 9.43 3.746 39.923
"12239" 8.816 3.564 75.323
"12240" 9.687 3.72 42.74
"12241" 8.494 3.986 60.557
"12242" 9.217 3.293 45.53
"12243" 9.106 3.4 42.983
"12244" 9.027 3.116 43.86
"12245" 8.667 3.846 48.91
"12246" 10.077 4.343 44.7
"12247" 8.586 3.644 52.323
"12248" 8.747 5.59 45.34
"12249" 8.323 4.107 39.04
"12250" 8.82 3.766 53.793
"12251" 8.73 4.614 45.627
"12252" 8.387 5.593 51.48
"12253" 8.784 3.363 57.837
"12254" 7.95 3.393 45.26
"12255" 8.683 3.45 38.433
"12256" 8.983 3.654 51.4
"12257" 8.637 3.25 53.257
"12258" 7.807 3.493 53.41
"12259" 8.817 3.67 44.01
"12260" 8.283 6.103 53.013
"12261" 8.73 3.31 48.68
"12262" 9.77 3.43 53.917
"12263" 9.127 3.13 43.497
"12264" 8.934 3.396 68.977
"12265" 8.867 3.36 42.47
"12266" 9.567 3.643 44.827
"12267" 8.857 3.976 42.96
"NA.545" NA NA NA
"12269" 9.847 3.746 63.19
"12270" 9.62 3.88 42.01
"12271" 9.85 3.293 51.35
"12272" 9.944 4.14 50.197
"12273" 9.463 3.707 60.29
"12274" 9.193 3.207 40.8
"12275" 9.313 3.793 53.353
"12276" 9.727 3.813 49.01
"12277" 9.797 3.556 43.13
"12278" 9.79 4.06 64.1
"12279" 9.91 3.424 58.247
"12280" 10.207 3.313 39.56
"12281" 9.717 3.743 63.41
"12282" 10.074 3.613 45.037
"12283" 10.043 3.6 47.363
"12284" 9.44 4.146 43.783
"12285" 9.203 3.377 45.73
"12286" 10.05 4.317 46.557
"12287" 9.03 4.033 48.79
"12288" 8.8 176.53 53.333
"12289" 10.154 4.306 51.917
"12290" 22.43 10.34 35.43
"12291" 9.734 3.476 75.717
"12292" 10.137 3.487 79.447
"12293" 9.69 3.614 47.217
"12294" 10.16 3.957 49.917
"12295" 9.5 3.54 47.263
"12296" 9.097 4.09 66.657
"12297" 10.317 3.816 65.42
"12298" 9.55 3.647 54.62
"12299" 8.284 3.823 55.857
"12300" 10.354 3.273 71.207
"12301" 8.756 4.047 62.113
"12302" 9.563 4.544 48.06
"12303" 9.147 3.31 54.547
"12304" 9.747 3.62 57.34
"12305" 8.277 7.77 15.52
"12306" 9.85 175.9 50.15
"12307" 9.23 3.223 46.913
"12308" 10.05 3.733 51.033
"12309" 9.134 3.296 50.147
"12310" 10.247 6.153 66.75
"12311" 11.79 3.393 65.5
"12312" 11.233 3.48 59.523
"12313" 10.276 4.144 46.283
"12314" 8.92 3.393 51.123
"12315" 10.444 3.596 43.547
"12316" 10.336 4.204 45.383
"12317" 9.763 3.637 72.3
"12318" 10.603 3.773 56.463
"12319" 9.36 3.744 46.647
"12320" 9.463 3.68 59.683
"12321" 9.036 4.13 44.413
"12322" 9.087 3.233 45.6
"12323" 9.12 3.236 54.653
"12324" 8.787 4.213 44.53
"12325" 61.03 4.117 97.62
"12326" 9.2 5.307 60.817
"12327" 10.193 4.254 56.37
"12328" 9.957 3.523 49.16
"12329" 10.437 3.867 52.267
"12330" 9.387 3.963 42.007
"12331" 9.467 3.75 50.727
"12332" 10.53 4.176 44.653
"12333" 8.92 3.636 65.273
"12334" 9.387 4.173 52.547
"12335" 9.356 3.764 58.643
"12336" 9.003 3.427 49.1
"12337" 10.144 3.28 47.617
"12338" 9.26 4.103 51.86
"12339" 10.004 4.176 53.127
"12340" 9.127 3.293 52.45
"12341" 10.087 4.4 45.827
"12342" 10.123 3.433 47.453
"12343" 10.11 3.574 41.857
"12344" 8.994 3.453 44.517
"12345" 8.67 4.717 56.807
"12346" 8.243 6.18 44.193
"12347" 9.116 3.954 45.533
"12348" 9.497 3.873 51.23
"12349" 8.504 4.736 42.477
"12350" 10.19 3.536 57.763
"12351" 8.77 3.294 52.097
"12352" 9.203 3.97 53.86
"12353" 9.327 4.536 45.01
"12354" 9.05 3.134 53.567
"12355" 9.06 4.933 46.993
"12356" 9.41 3.704 42.877
"12357" 9.774 3.643 45.687
"12358" 9.57 3.523 44.953
"12359" 9.094 6.223 55.197
"12360" 8.677 3.74 48.83
"12361" 8.903 4.383 42.053
"12362" 9.373 3.797 40.01
"12363" 8.687 3.616 59.08
"12364" 10 3.387 56.96
"12365" 10 4.254 48.147
"12366" 10.35 4.123 46.993
"12367" 9.087 3.147 65.517
"12368" 9.477 3.843 41.63
"12369" 8.807 3.63 47.507
"12370" 9.563 3.84 47.573
"12371" 9.95 3.546 45.493
"12372" 9.787 4.003 43.39
"NA.546" NA NA NA
"12374" 45.98 10.56 57.69
"12375" 8.503 5.857 47.24
"12376" 9.124 176.386 43.097
"12377" 10.03 3.4 45.26
"12378" 82.913 7.377 102.363
"12379" 11.396 3.854 49.363
"12380" 8.757 5.57 45.747
"12381" 8.993 3.054 47.33
"12382" 8.337 4.94 53.067
"12383" 10.906 3.47 49.193
"12384" 10.693 3.75 49.383
"12385" 11.414 3.893 59.897
"12386" 8.546 3.697 41.043
"12387" 9.133 4.007 46.613
"12388" 7.75 6.807 14.577
"12389" 10.433 3.86 61.72
"12390" 8.457 4.863 44.507
"12391" 8.557 5.663 49.077
"12392" 9.4 22.714 29.717
"12393" 10.627 4.833 45.55
"12394" 8.427 3.833 54.81
"12395" 16.573 11.54 29.58
"12396" 12.656 20.36 31.423
"12397" 8.987 5.427 62.327
"12398" 11.214 3.973 54.467
"12399" 9.067 3.393 55.367
"12400" 9.37 4.5 43.01
"12401" 9.83 3.493 48.273
"12402" 9.57 3.673 44.223
"12403" 8.72 3.84 51.813
"12404" 9.007 4.353 75.7
"12405" 9.953 3.43 53.483
"12406" 8.89 9.63 17.47
"12407" 9.816 3.544 41.323
"12408" 8.64 4.68 56.327
"12409" 8.897 5.76 59.917
"12410" 9.677 3.607 46.797
"12411" 9.063 3.043 53.583
"12412" 81.223 6.754 99.11
"12413" 8.417 3.833 52.92
"12414" 8.614 3.833 49.417
"12415" 8.373 4.84 45.583
"12416" 8.567 176.853 44.25
"12417" 7.753 7.84 14.363
"12418" 8.437 4.837 52.557
"12419" 7.433 7.047 13.6
"12420" 8.513 3.69 55.213
"12421" 8.974 3.333 56.387
"12422" 10.087 4.123 46.037
"12423" 10.606 3.75 47.033
"12424" 8.876 3.13 53.813
"12425" 10.48 3.82 68.663
"12426" 9.047 4.053 46.377
"NA.547" NA NA NA
"12428" 8.85 5.41 64.09
"12429" 15.83 23.543 34.7
"12430" 8.493 4.624 64.79
"12431" 9.033 3.42 45.66
"12432" 8.463 5.957 45.52
"12433" 8.28 3.263 47.843
"12434" 8.09 7.77 16.033
"12435" 8.723 4.704 65.1
"12436" 8.413 3.84 46.08
"12437" 8.737 3.433 46.287
"12439" 7.684 4.613 60.597
"12440" 8.477 3.75 44.11
"12441" 8.81 7.47 65.883
"NA.548" NA NA NA
"12443" 9.81 3.484 44.787
"12444" 8.813 3.494 59.18
"12445" 8.23 5.277 47.38
"12446" 8.743 3.46 46.82
"12447" 9.233 3.88 42.81
"12448" 8.543 7.447 15.97
"12449" 11.117 3.3 54.897
"12450" 9.49 4.063 50.48
"12451" 7.893 7.15 15.073
"12452" 8.904 4.43 41.277
"NA.549" NA NA NA
"12454" 8.88 3.193 60.303
"12455" 9.5 3.857 47.397
"12456" 8.72 3.516 43.583
"12457" 10.033 4.05 61.523
"12458" 8.3 4.977 64.047
"12459" 8.914 3.686 59.597
"12460" 80.4 7.577 97.88
"NA.550" NA NA NA
"12462" 9.26 3.9 47.923
"12463" 8.397 3.88 41.39
"12464" 8.627 3.773 52.777
"12465" 8.92 3.357 54.76
"12466" 9.24 3.877 61.48
"12467" 9.11 3.153 46.873
"12468" 8.527 5.977 48.437
"12469" 8.16 4.64 55.54
"12470" 8.334 4.39 50.207
"12471" 9.093 3.187 43.91
"12472" 10.396 3.66 48.613
"12473" 9.653 3.507 59.263
"12474" 8.247 4.317 45.167
"12475" 8.37 6.14 46.633
"12476" 8.54 4.7 51.16
"12477" 9.05 3.163 57.073
"12478" 9.017 3.263 41.337
"12479" 9.09 3.81 44.097
"12480" 8.38 3.717 59.317
"12481" 12.276 174.72 66.553
"12482" 83.107 6.273 101.78
"12483" 8.71 6.486 57.353
"12484" 8.977 3.803 59.357
"12485" 9.377 3.866 47.65
"12486" 10.74 3.576 49.063
"12487" 9.267 3.413 45.657
"12488" 8.803 3.354 54.49
"12489" 8.467 4.78 45.437
"12490" 9.03 3.94 45.15
"12491" 8.507 3.603 47.87
"12492" 9.19 3.97 47.67
"12493" 8.686 3.52 66.033
"12494" 8.83 3.403 60.94
"12495" 9.364 3.58 46.417
"12496" 8.267 4.19 45.77
"12497" 10.3 3.32 56.13
"12498" 8.007 4.187 57.707
"12499" 10.33 4.093 61.653
"12500" 9.897 4.99 46.417
"12501" 8.724 5.556 62.217
"12502" 8.914 3.353 52.757
"12503" 9.146 3.397 45.393
"12504" 8.8 3.55 52.863
"12505" 8.217 4.16 44.66
"12506" 80.21 7.847 97.707
"12507" 9.426 4.097 58.453
"12508" 8.78 3.987 60.39
"12509" 9.413 3.623 48.763
"12510" 8.207 5.963 55.52
"12511" 8.997 3.933 51.837
"12512" 8.924 4.133 50.627
"12513" 9.103 4.01 52.623
"12514" 8.12 177.177 44.197
"NA.551" NA NA NA
"12516" 9.16 3.176 52.943
"12517" 9.287 3.813 48.52
"12518" 8.42 177.98 53.55
"12519" 72.034 6.523 84.607
"12520" 8.86 3.783 49.04
"12521" 8.813 3.61 42.1
"12522" 54.42 8.55 61.21
"12523" 8.967 4.513 75.087
"NA.552" NA NA NA
"12525" 8.667 3.42 44.667
"12526" 8.92 3.37 54.38
"12527" 7.487 32.13 38.687
"12528" 8.74 3.424 48.837
"12529" 9.373 3.97 55.33
"12530" 8.71 4.347 40.697
"12531" 8.82 3.504 53.567
"12532" 9.103 3.5 42.52
"12533" 9.63 3.81 45.947
"12534" 9.343 176.097 59.39
"12535" 38.463 5.537 56.67
"12536" 33.933 5.33 53.793
"12537" 9.046 3.44 67.553
"12538" 8.76 4.927 55.32
"12539" 8.683 4.554 61.55
"12540" 8.756 3.43 53.303
"12541" 8.824 3.436 45.057
"12542" 8.366 3.554 44.853
"12543" 60.134 3.856 97.837
"12544" 8.906 3.4 45.463
"12545" 76.426 5.817 94.903
"12546" 8.777 5.403 53.13
"NA.553" NA NA NA
"12548" 8.933 3.473 40.723
"12549" 10.02 3.74 46.003
"12550" 8.824 3.123 50.827
"12551" 9.036 3.287 42.643
"12552" 8.9 3.304 43.707
"12553" 8.937 3.166 49.27
"12554" 9.04 4.467 63.587
"12555" 10.227 3.07 45.397
"12556" 8.873 6.93 15.75
"12557" 9.18 3.576 44.983
"12558" 9.924 176.873 49.687
"NA.554" NA NA NA
"12560" 8.294 4.796 56.067
"12561" 9.256 3.984 56.313
"NA.555" NA NA NA
"12563" 8.827 3.353 43.72
"12564" 8.684 4.923 58.357
"12565" 8.783 3.397 58.39
"12566" 10.547 3.57 45.6
"12567" 8.867 3.317 47.017
"12568" 8.63 4.09 53.307
"12569" 9.06 3.41 57.17
"12570" 8.75 3.546 49.483
"12571" 8.687 5.373 47.71
"12572" 8.523 3.637 48.75
"12573" 8.45 5.917 48.597
"12574" 8.434 3.58 52.917
"12575" 8.886 3.347 49.453
"12576" 8.92 3.287 43.437
"12577" 8.72 3.48 44.847
"12578" 9.253 4.117 57.81
"12579" 8.047 4.333 39.067
"12580" 8.806 3.344 42.483
"12581" 9.604 3.873 65.577
"12582" 9.1 5.163 45.69
"12583" 8.727 3.44 59.807
"12584" 9.213 4.327 54.26
"12585" 8.53 3.484 43.247
"12586" 8.947 3.267 44.957
"12587" 9.073 3.22 47.86
"12588" 9.127 3.05 51.187
"12589" 8.443 6.08 48.46
"12590" 8.486 4.654 50.713
"12591" 8.627 4.76 45.41
"12592" 9.097 3.616 64.26
"12593" 8.497 3.557 57.907
"12594" 9.09 3.313 52.22
"12595" 8.38 3.637 48.517
"12596" 8.34 3.783 46.023
"12597" 8.797 4.383 64.41
"12598" 8.257 3.84 62.26
"12599" 9.24 5.994 49.517
"12600" 8.573 4.893 47.623
"12601" 9.09 3.513 71.22
"12602" 9.197 3.077 45.287
"12603" 8.473 3.744 54.64
"NA.556" NA NA NA
"12605" 8.533 3.747 50.353
"12606" 8.927 3.53 45.987
"12607" 8.657 3.486 52.53
"12608" 8.2 3.957 46.577
"12609" 8.917 3.563 56.44
"12610" 8.68 3.907 48.097
"12611" 5.59 10.51 14.833
"12612" 60.49 3.663 102.053
"12613" 9.083 3.964 60.49
"12614" 8.673 3.434 45.46
"NA.557" NA NA NA
"12616" 9.266 3.68 46.483
"12617" 9.72 3.5 40.573
"NA.558" NA NA NA
"12619" 9.28 3.057 47.597
"12620" 8.814 3.383 46.897
"12621" 8.647 3.553 54.45
"12622" 8.643 177.39 50.313
"NA.559" NA NA NA
"12624" 8.677 3.423 49.35
"12625" 8.526 3.654 53.343
"12626" 8.477 3.996 51.45
"12627" 8.857 4.337 53.277
"12628" 29.427 7.35 47.8
"12629" 84.913 6.493 101.853
"12630" 9.403 3.807 51.753
"NA.560" NA NA NA
"12632" 8.863 3.704 48.41
"12633" 9.846 3.45 45.083
"12634" 8.99 4.096 57.973
"NA.561" NA NA NA
"12636" 8.903 4.627 65.28
"12637" 76.63 6.19 95.82
"12638" 76.173 5.537 90.963
"12639" 8.787 3.323 52.52
"12640" 8.663 3.45 45.153
"12641" 9.213 3.787 50.95
"12642" 8.68 4.336 45.653
"12643" 8.994 4.15 42.367
"12644" 81.903 7.93 100.313
"12645" 8.587 4.483 42.55
"12646" 8.864 3.403 43.997
"12647" 9.143 4.217 44.97
"12648" 8.83 176.6 49.083
"NA.562" NA NA NA
"12650" 8.59 3.837 39.49
"12651" 8.863 4.407 40.93
"12652" 8.707 3.346 47.08
"12653" 8.413 3.52 51.61
"12654" 8.526 3.657 45.483
"12655" 8.413 3.384 47.1
"12656" 8.84 4.506 44.953
"12657" 8.49 3.72 43.737
"12658" 8.843 5.537 46.42
"12659" 8.29 4.873 54.383
"12660" 8.826 3.394 46.253
"12661" 9.35 3.91 45.413
"NA.563" NA NA NA
"12663" 9.11 3.26 44.403
"12664" 8.747 3.793 44.78
"12665" 8.793 3.237 43.39
"12666" 8.856 3.334 58.963
"12667" 84.873 6.77 100.953
"12668" 9.177 3.296 57.96
"12669" 8.973 3.25 54.27
"12670" 8.617 3.51 43.297
"12671" 9.08 3.22 53.67
"12672" 28.02 24.413 49.043
"12673" 8.346 3.957 43.133
"12674" 8.847 3.23 44.07
"12675" 8.763 3.393 56.493
"12676" 9.427 3.83 59.077
"12677" 7.97 3.27 46.847
"12678" 8.737 3.536 41.88
"12679" 8.557 176.783 54.06
"12680" 9.123 177.88 52.883
"12681" 8.83 4.416 45.773
"12682" 9.78 3.52 50.763
"12683" 8.98 4.106 47.863
"12684" 9.093 3.514 73.28
"12685" 8.353 4.007 50.48
"12686" 9.817 3.736 48.34
"12687" 8.984 3.436 47.957
"NA.564" NA NA NA
"12689" 8.794 4.333 57.347
"12690" 29.193 5.887 46.16
"12691" 8.403 3.784 59.39
"12692" 10.05 3.34 43.42
"12693" 9.026 3.227 45.513
"12694" 8.797 3.333 44.48
"12695" 8.767 3.32 40.8
"12696" 8.877 3.143 52.02
"12697" 9.01 3.46 45.837
"12698" 9.317 176.443 49.02
"12699" 8.153 5.054 51.82
"12700" 8.983 6.63 45.323
"12701" 11.757 174.68 60.61
"12702" 8.733 3.533 42.323
"12703" 8.667 3.686 45.01
"12704" 8.28 3.887 52.43
"12705" 8.51 3.723 45.923
"12706" 8.45 3.686 44.043
"12707" 9.18 4.016 45.073
"12708" 9.987 3.57 56.18
"12709" 9.826 3.514 63.763
"12710" 8.43 4.7 46.383
"12711" 9.034 3.11 46.857
"12712" 10.133 3.394 40.64
"12713" 7.863 7.457 13.76
"12714" 9.954 3.393 48.647
"12715" 10.14 4.24 46.26
"12716" 9.85 3.51 49.74
"12717" 8.94 3.274 41.967
"12718" 8.56 4.703 44.65
"12719" 80.81 5.833 97.193
"12720" 9.06 3.97 46.327
"12721" 8.936 3.447 46.533
"12722" 8.733 4.717 58.373
"12723" 8.577 4.427 58.667
"12724" 8.294 3.873 46.867
"12725" 8.493 3.787 46.47
"12726" 8.464 3.603 57.207
"12727" 8.403 4 46.753
"12728" 9.763 3.414 44.32
"12729" 9.684 5.923 45.097
"12730" 9.287 3.757 41.987
"12731" 9.83 3.607 49.367
"12732" 8.627 3.493 49.8
"12733" 9.72 3.963 46.28
"12734" 9.117 3.196 52.94
"12735" 9.313 3.724 44.18
"NA.565" NA NA NA
"12737" 8.393 4.054 53.79
"12738" 10.194 3.98 45.857
"12739" 8.474 3.6 39.247
"12740" 5.654 11.266 16.337
"12741" 8.707 4.436 44.81
"NA.566" NA NA NA
"12743" 8.796 3.47 53.153
"12744" 8.59 3.647 48.87
"12745" 8.25 4.416 44.613
"12746" 8.607 3.57 48.29
"12747" 9.074 3.26 50.557
"12748" 8.633 4.564 43.71
"12749" 8.39 4.776 46.653
"12750" 8.953 3.47 47.513
"12751" 9.04 4.19 43.98
"12752" 8.82 4.56 47.41
"12753" 8.883 3.584 44.03
"NA.567" NA NA NA
"12755" 8.907 4.223 45.127
"12756" 8.764 4.82 50.687
"12757" 8.447 3.767 48.607
"12758" 8.14 3.283 60.7
"12759" 9.07 3.467 56.327
"12760" 8.38 3.76 53.65
"12761" 9.137 3.17 43.127
"12762" 8.803 3.5 45.203
"12763" 8.11 3.5 59.92
"12764" 60.27 3.65 96.68
"12765" 8.37 5.837 49.34
"12766" 8.903 3.18 43.64
"12767" 9.287 4.05 51.56
"12768" 9.997 3.453 45.407
"12769" 8.933 3.344 50.58
"12770" 9.09 3.286 44.583
"12771" 8.507 4.613 41.98
"12772" 81.807 7.26 99.587
"12773" 10.754 3.6 50.727
"12774" 8.833 176.66 39.983
"12775" 8.983 3.304 56.95
"12776" 15.826 24.15 36.823
"12777" 9.23 4.183 62.863
"12778" 9.037 3.463 45.25
"12779" 9.03 3.434 49.207
"12780" 10.487 2.77 58.58
"12781" 10.05 4.197 58.57
"12782" 9.09 5.077 46.33
"12783" 29.77 6.6 46.903
"12784" 8.664 3.553 43.937
"12785" 80.357 5.953 98.55
"NA.568" NA NA NA
"12787" 9.227 3.793 45.89
"12788" 8.617 3.453 58.89
"12789" 10.093 3.584 47.68
"12790" 8.786 3.587 48.573
"NA.569" NA NA NA
"12792" 8.457 3.58 47.417
"12793" 8.663 3.667 50.78
"12794" 8.676 3.627 48.663
"12795" 8.827 3.463 48.16
"12796" 8.57 3.45 60.17
"12797" 8.593 3.504 46.05
"12798" 8.954 3.396 45.147
"12799" 8.857 3.48 47.267
"12800" 9.05 3.224 47.497
"12801" 66.3 4.357 96.447
"12802" 9.267 6.063 47.78
"12803" 8.657 3.323 44.917
"12804" 8.894 3.51 43.487
"12805" 8.1 3.924 54.717
"12806" 15.604 15.9 34.737
"12807" 8.796 3.484 55.803
"12808" 8.867 3.193 60.79
"NA.570" NA NA NA
"12810" 8.976 3.494 44.843
"12811" 8.85 3.344 49.377
"NA.571" NA NA NA
"12813" 8.703 3.594 48.1
"12814" 8.617 3.567 46.077
"12815" 9.51 3.803 39.5
"NA.572" NA NA NA
"NA.573" NA NA NA
"12818" 8.807 3.347 53.947
"12819" 8.75 3.233 44.23
"12820" 8.82 3.483 47.073
"12821" 10.2 4.004 42.647
"12822" 8.67 3.357 44.537
"12823" 8.846 3.197 42.643
"12824" 8.86 5.983 45.333
"12825" 9.313 3.81 42.53
"12826" 9.31 3.82 44.797
"12827" 9.43 3.773 42.923
"12828" 10.027 3.396 43.29
"12829" 8.884 3.373 47.107
"12830" 10.156 4.217 44.133
"12831" 8.403 3.864 43.15
"12832" 9.574 3.953 43.687
"12833" 9.743 3.747 54.58
"12834" 8.993 3.447 39.81
"12835" 8.607 4.593 52.27
"12836" 9.917 3.603 47.13
"12837" 9.037 3.44 41.147
"12838" 9.907 3.38 52.38
"12839" 9.063 3.58 57.383
"12840" 9.237 4.053 44.237
"12841" 8.237 4.933 40.347
"12842" 8.857 3.183 45.64
"12843" 9.074 3.993 46.217
"12844" 8.697 177.776 47.64
"12845" 8.923 3.327 43.673
"12846" 10.064 3.343 45.477
"12847" 8.863 3.087 44.07
"12848" 8.577 3.576 43.69
"12849" 8.757 3.646 68.5
"12850" 8.513 5.99 53.883
"12851" 9.037 3.417 46.567
"12852" 8.77 3.617 45
"12853" 8.883 3.43 53.93
"12854" 9.583 3.577 41.47
"12855" 9.597 3.826 56.07
"12856" 9.25 5.986 48.833
"12857" 8.83 3.294 56.137
"12858" 12.17 4.18 52.88
"12859" 9.644 3.696 42.357
"12860" 8.937 3.38 62.76
"12861" 9.754 3.553 43.717
"12862" 9.047 3.16 72.727
"12863" 8.827 3.283 52.13
"12864" 10.044 5.68 56.427
"12865" 9.827 3.453 46.6
"12866" 8.834 3.163 50.487
"12867" 9.754 3.35 44.057
"NA.574" NA NA NA
"12869" 8.366 4.347 53.903
"12870" 8.84 3.196 42.693
"12871" 8.98 3.313 51.79
"12872" 9.76 3.493 47.223
"12873" 8.496 3.55 41.573
"12874" 9.896 3.354 46.183
"12875" 11.934 3.766 53.027
"12876" 10.09 3.47 48.147
"12877" 10.457 3.756 47.12
"12878" 10.563 3.76 46.82
"12879" 125.033 7.907 133.41
"12880" 9.8 3.357 55.66
"12881" 10.487 3.153 54.147
"12882" 10.11 175.706 51.213
"12883" 8.84 3.203 42.37
"12884" 8.91 3.106 50.353
"12885" 10.007 3.366 56.15
"12886" 10.697 3.493 56.777
"12887" 10.357 3.936 47.71
"12888" 10.69 3.85 49.15
"12889" 9.964 3.686 53.677
"12890" 10.244 3.956 58.137
"12891" 10.137 3.353 46.36
"12892" 8.857 3.07 51.647
"12893" 9.46 5.757 48.16
"12894" 9.867 3.587 45.707
"12895" 8.384 5.856 45.407
"12896" 8.027 4.1 40.99
"12897" 8.876 3.424 54.773
"12898" 8.153 3.467 46.48
"12899" 8.567 4.086 53.68
"12900" 9.747 3.51 43.83
"12901" 8.707 3.52 53.14
"12902" 8.32 3.88 50.817
"12903" 8.74 4.49 44.597
"NA.575" NA NA NA
"12905" 8.57 4.763 55.7
"12906" 8.786 3.524 43.753
"12907" 10.057 4.077 43.287
"12908" 8.336 3.657 42.663
"12909" 8.217 4.233 43.87
"NA.576" NA NA NA
"12911" 8.747 3.353 41.97
"12912" 8.983 3.5 53.463
"12913" 9.58 3.736 54.573
"12914" 8.167 4.08 47.54
"12915" 8.673 4.79 46.903
"12916" 9.64 3.443 55.56
"12917" 8.537 3.473 52.717
"12918" 8.1 4.523 65.903
"12919" 8.93 5.443 44.76
"12920" 8.403 4.94 43.163
"12921" 8.6 5.863 53.723
"12922" 8.46 3.72 50.49
"12923" 8.483 3.657 47.09
"12924" 8.72 3.27 41.89
"12925" 9.09 3.414 44.947
"12926" 8.677 3.597 51.907
"12927" 9.566 3.644 49.033
"12928" 9.774 3.42 52.637
"12929" 8.873 3.237 55.54
"12930" 8.56 177.347 45.277
"12931" 8.904 3.21 50.457
"12932" 9.287 3.88 47.55
"12933" 8.967 3.336 40.94
"12934" 10.87 3.583 51.163
"12935" 11.06 3.41 50.81
"12936" 8.9 3.173 51.363
"12937" 8.353 3.887 51.47
"12938" 8.423 6.65 47.053
"12939" 8.553 3.517 43.62
"12940" 7.987 3.36 42.43
"12941" 8.427 5.933 53.187
"12942" 8.4 3.72 44.977
"12943" 8.05 3.253 45.953
"12944" 8.994 3.11 43.747
"12945" 8.517 3.717 43.397
"12946" 8.7 3.533 40.543
"12947" 8.746 3.334 45.283
"12948" 9.17 3.753 44.54
"12949" 8.79 3.353 49.463
"12950" 9.723 3.49 44.15
"12951" 8.857 3.367 56.577
"12952" 8.28 3.95 53.68
"12953" 8.49 4.457 51.72
"12954" 8.827 5.483 47.507
"12955" 8.17 3.977 48.737
"12956" 8.343 3.784 42.91
"12957" 8.914 3.396 51.487
"12958" 9.1 3.294 73.767
"12959" 8.753 3.274 51.18
"12960" 8.536 3.717 50.873
"12961" 8.763 3.513 56.323
"12962" 8.6 3.597 53.35
"12963" 9.67 3.904 47.407
"NA.577" NA NA NA
"12965" 8.83 3.667 63.867
"12966" 9.97 3.414 50.147
"12967" 8.55 4.587 42.86
"12968" 8.91 3.483 41.04
"12969" 8.764 3.606 42.127
"12970" 10.016 4.31 48.043
"12971" 8.06 3.216 44.933
"12972" 8.31 4.003 56.463
"12973" 10.144 5.22 51.487
"12974" 8.867 3.177 50.577
"12975" 9.137 3.986 49.47
"12976" 8.92 3.31 44.97
"12977" 8.334 3.906 48.187
"12978" 8.464 3.746 41.217
"12979" 8.973 4.19 51.213
"12980" 11.687 175.07 43.51
"12981" 9.09 3.424 50.417
"12982" 10.093 3.294 51.43
"12983" 9.027 3.463 47.507
"12984" 7.87 4.013 38.51
"12985" 7.817 5.24 44.53
"12986" 8.424 3.62 38.057
"12987" 60.066 4.527 101.173
"12988" 9.61 3.673 42.81
"12989" 8.2 3.68 45.407
"12990" 8.737 4.513 42.04
"12991" 10.034 3.386 64.947
"12992" 8.873 3.46 46.663
"12993" 8.574 3.486 47.847
"12994" 8.314 3.846 42.157
"12995" 9.05 3.346 45.373
"12996" 9.007 4.16 47.33
"12997" 9.167 4.113 47.79
