"Row" "BootToDesktop" "DesktopToIdle" "BootToIdle"
"205" 8.63 3.866 43.483
"206" 8.634 3.636 42.207
"207" 9.743 3.567 49.493
"NA.13" NA NA NA
"209" 8.62 3.47 39.95
"210" 8.717 4.536 39.2
"211" 68.447 6.956 81.44
"212" 5.49 17.05 20.573
"213" 8.19 3.183 38.07
"214" 8.59 3.293 45.073
"215" 8.82 4.426 44.623
"216" 8.127 3.183 48.587
"217" 8.92 3.357 48.027
"218" 86.904 6.623 108.247
"219" 7.977 8.26 13.79
"NA.14" NA NA NA
"221" 9.12 4.363 43.863
"222" 8.697 3.553 51.807
"223" 8.817 3.367 38.267
"224" 9.153 3.95 47.27
"225" 8.117 4.283 42.39
"226" 9.34 3.193 58.113
"227" 8.887 3.397 44.487
"228" 8.487 3.53 42.11
"229" 8.644 3.533 57.537
"230" 7.873 7.674 13.55
"231" 8.793 3.4 40.783
"232" 65.843 6.697 77.123
"233" 80.333 7.057 100.62
"234" 7.387 7.107 13.157
"235" 8.827 3.37 41.19
"236" 9.12 3.957 45.197
"237" 77.037 8.307 101.297
"238" 8.474 3.786 39.167
"239" 8.367 3.813 39.187
"240" 9.16 16.26 24.053
"NA.15" NA NA NA
"242" 8.023 177.383 36.033
"243" 9.07 3.226 41.453
"244" 9.237 3.853 43.787
"245" 9.084 3.98 38.677
"246" 9.58 3.507 41.23
"247" 8.97 3.093 39.52
"248" 8.524 3.893 41.777
"249" 9.143 4.327 57.493
"250" 8.847 3.456 41.58
"251" 8.91 3.39 46.743
"252" 16.386 3.45 55.053
"253" 7.907 3.14 39.55
"254" 8.32 3.883 39.173
"255" 8.616 3.587 41.653
"256" 8.507 3.53 37.49
"257" 8.76 4.15 39.827
"258" 8.24 4.12 40.93
"259" 11.69 6.563 19.073
"260" 9.137 3.417 39.807
"261" 8.563 3.594 38.18
"262" 7.887 4.44 51.547
"263" 9.104 3.956 43.177
"264" 8.627 3.387 40.447
"265" 45.954 6.81 67.227
"NA.16" NA NA NA
"NA.17" NA NA NA
"268" 9.124 6.226 52.417
"269" 8.654 4.746 39.267
"NA.18" NA NA NA
"271" 9.16 177.197 40.627
"272" 8.567 3.593 45.557
"273" 8.64 3.833 53.59
"274" 8.887 3.533 59
"275" 8.687 3.356 39.78
"276" 8.65 3.29 54.057
"277" 5.113 10.217 16.61
"278" 30.83 15.393 98.29
"279" 8.617 3.596 41.52
"280" 9.463 3.84 38.23
"281" 9.71 3.96 39.063
"282" 9.056 3.914 38.813
"283" 9.333 3.804 40.69
"284" 80.674 6.583 98.117
"285" 8.677 4.28 36.34
"286" 8.56 3.863 40.34
"287" 8.813 3.554 51.55
"288" 8.827 3.46 42.257
"289" 9.083 3.37 47.083
"290" 9.26 3.794 44.537
"291" 13.52 20.2 32.293
"292" 8.9 3.423 44.77
"293" 10.103 4.214 38.19
"294" 59.297 4.743 91.36
"295" 8.896 3.38 38.343
"296" 8.957 3.466 42.16
"297" 11.44 17.033 26.49
"NA.19" NA NA NA
"299" 10.3 3.923 45.313
"300" 8.657 3.45 40.19
"301" 8.8 5.483 43.063
"302" 9.723 4 45.203
"NA.20" NA NA NA
"NA.21" NA NA NA
"305" 8.65 3.9 39.19
"306" 8.75 3.656 39.793
"307" 9.194 4.02 46.207
"NA.22" NA NA NA
"309" 9.016 3.287 44.813
"310" 10.307 4.08 47.51
"311" 8.297 3.803 56.297
"312" 8.553 3.55 41.53
"313" 11.793 2.457 94.73
"314" 9.056 4.364 44.773
"315" 9.107 176.193 37.71
"316" 10.263 3.873 42.613
"317" 8.89 5.483 47.753
"318" 82.017 7.193 99.467
"NA.23" NA NA NA
"320" 8.864 3.54 44.047
"321" 8.906 3.457 50.863
"322" 19.697 10.18 31.487
"323" 12.594 3.523 48.717
"324" 7.8 8.247 16.117
"325" 9.273 176.307 40.61
"326" 9.047 3.506 44.41
"327" 9.747 3.59 43.19
"NA.24" NA NA NA
"329" 8.287 3.85 53.987
"330" 8.333 3.853 56.463
"NA.25" NA NA NA
"332" 8.863 3.41 41.43
"333" 8.7 3.574 35.647
"334" 8.606 3.537 42.123
"335" 8.606 3.834 39.863
"336" 8.76 3.803 45.793
"338" 9.216 5.807 43.073
"339" 9.197 176.31 41.597
"340" 8.47 176.854 35.887
"341" 9.15 3.087 39.39
"342" 8.586 3.78 60.413
"343" 9.853 3.363 41.013
"NA.26" NA NA NA
"345" 8.71 176.863 44.58
"346" 8.62 3.417 36.687
"347" 8.48 3.873 46.75
"348" 10.96 3.37 41.22
"349" 8.793 3.364 59.82
"350" 8.786 3.437 41.373
"351" 8.63 3.49 36.51
"352" 9.734 176.706 43.847
"353" 9.467 4.06 41.687
"354" 34.31 7.256 51.573
"355" 10.06 3.29 43.55
"356" 9.933 3.413 40.643
"357" 9.243 3.567 40.19
"358" 8.44 3.61 42.193
"NA.27" NA NA NA
"360" 8.094 3.27 40.797
"361" 9.72 3.527 46.51
"NA.28" NA NA NA
"363" 9.107 3.383 42.14
"364" 8.813 3.507 43.983
"365" 8.624 5.91 55.667
"366" 8.7 3.386 45.883
"367" 8.677 4.517 38.087
"NA.29" NA NA NA
"369" 9.527 3.693 43.51
"370" 80.38 7.57 98.06
"NA.30" NA NA NA
"372" 9.323 3.65 38
"373" 8.94 3.994 38.727
"NA.31" NA NA NA
"NA.32" NA NA NA
"NA.33" NA NA NA
"377" 9.163 3.46 46.06
"378" 71.687 7.06 84.64
"379" 8.777 176.883 38.88
"380" 9.193 4.087 49.37
"381" 8.637 3.546 39.43
"382" 8.96 3.467 43.907
"383" 30.85 6.333 47.563
"NA.34" NA NA NA
"385" 8.88 3.404 47.417
"386" 8.693 3.637 52.663
"387" 9.293 3.647 36.95
"388" 8.876 4.294 43.233
"389" 9.003 3.42 44.023
"390" 8.387 8.153 39.577
"391" 8.78 3.5 39.93
"392" 8.3 3.78 44.32
"393" 8.58 4.053 39.44
"394" 12.203 4.247 50.573
"395" 8.28 3.627 44.93
"396" 9.867 3.62 38.73
"397" 8.563 4.774 44.84
"398" 8.613 7.223 40.663
"399" 9.2 3.894 40.717
"400" 8.586 3.634 37.153
"401" 9.36 3.797 40.18
"NA.35" NA NA NA
"NA.36" NA NA NA
"404" 8.827 3.297 44.677
"405" 8.41 3.696 39.043
"406" 7.6 4.32 38.643
"407" 8.46 4.013 40.503
"408" 8.907 3.19 42.787
"409" 8.6 3.457 49.92
"NA.37" NA NA NA
"411" 9.457 3.81 56.4
"412" 8.796 3.417 48.463
"NA.38" NA NA NA
"NA.39" NA NA NA
"415" 8.656 3.72 45.693
"416" 8.604 3.403 47.477
"NA.40" NA NA NA
"418" 8.973 3.1 40.203
"419" 8.526 4.734 45.923
"420" 13.79 21.886 34.343
"421" 8.514 3.68 40.467
"422" 8.794 3.603 80.357
"423" 15.437 18.18 31.957
"424" 8.34 3.703 39.98
"425" 9.153 4.254 54.89
"426" 8.98 177.453 40.85
"427" 8.407 3.493 74.687
"NA.41" NA NA NA
"429" 8.407 3.85 59.667
"430" 8.21 4.03 74.14
"431" 8.937 3.43 45.617
"432" 8.423 5.924 50.26
"433" 9.04 3.586 37.303
"434" 8.624 4.7 42.457
"435" 8.617 6.04 47.337
"436" 8.23 3.917 42.62
"437" 7.23 4.8 43.37
"438" 8.573 3.51 42.69
"NA.42" NA NA NA
"440" 4.65 86.547 91.037
"441" 8.887 3.473 41.607
"442" 9.616 3.8 45.843
"443" 8.627 3.97 46.25
"444" 59.693 3.384 94.31
"445" 5.286 6.204 11.603
"446" 8.88 3.37 39.42
"447" 9.863 3.43 43.67
"448" 8.677 3.427 43.797
"NA.43" NA NA NA
"450" 8.667 3.446 39.81
"451" 9.283 3.377 46.25
"452" 10.024 13.11 56.607
"453" 8.96 3.283 40.35
"454" 9.697 3.626 42.29
"455" 9.567 3.753 43.18
"456" 9.584 3.623 58.237
"457" 8.717 4.796 48.02
"458" 8.474 3.96 50.267
"459" 9.02 3.564 45.287
"NA.44" NA NA NA
"461" 4.937 6.033 10.41
"462" 8.67 3.683 40.46
"463" 8.9 4.004 60.097
"NA.45" NA NA NA
"465" 9.443 3.904 63.47
"466" 8.196 3.04 39.463
"467" 9.777 3.566 49.79
"NA.46" NA NA NA
"NA.47" NA NA NA
"NA.48" NA NA NA
"471" 16.413 9.857 29.15
"472" 61.303 3.663 96.313
"473" 9.853 3.56 66.28
"474" 59.693 4.227 95.33
"475" 8.6 4.664 60.947
"476" 8.727 3.596 61.54
"477" 7.99 3.53 40.427
"478" 10.143 3.48 47.83
"479" 9.833 3.534 49.19
"480" 86.98 6.8 109.57
"481" 8.737 3.416 60.01
"482" 8.9 3.29 51.37
"483" 8.27 3.88 48.767
"484" 8.663 3.593 41.513
"485" 8.754 3.473 53.127
"486" 9.147 4.04 50.417
"487" 9.227 3.34 47.707
"488" 8.553 3.87 44.27
"489" 8.967 3.42 46.447
"490" 8.3 2.83 40.033
"491" 11.41 5.087 56.617
"492" 8.437 3.77 41.97
"493" 8.164 4.086 40.127
"494" 9.634 3.693 44.727
"495" 8.19 3.133 41.353
"496" 8.867 3.56 44.317
"497" 8.424 3.863 43.717
"498" 8.796 3.64 43.053
"499" 8.754 3.806 40.187
"500" 9.127 3.95 48.067
"501" 8.43 3.823 40.313
"502" 8.394 177.873 45.987
"503" 7.874 3.223 42.687
"504" 8.407 3.92 53.847
"505" 8.68 3.853 54.46
"506" 8.35 3.627 54.3
"507" 8.34 177.187 50.477
"508" 8.57 3.79 46.457
"509" 8.207 4.01 41.947
"510" 8.146 3.324 41.143
"511" 7.994 3.243 42.187
"512" 9.41 3.774 48.057
"513" 9.386 3.26 45.063
"514" 8.47 3.75 42.76
"515" 8.283 4.027 45.27
"516" 8.677 3.523 40.87
"517" 7.71 4.414 42.597
"518" 8.527 4.71 51.87
"519" 8.593 3.387 47.55
"520" 8.993 3.427 49.9
"521" 7.694 3.306 41.497
"522" 8.876 3.367 51.403
"523" 8.617 176.986 37.35
"524" 8.39 5.967 67.26
"525" 8.526 3.577 50.163
"526" 13.563 15.563 29.033
"527" 8.587 3.393 45.39
"528" 8.746 3.407 42.633
"529" 8.834 3.6 51.067
"530" 9.787 3.543 42.847
"NA.49" NA NA NA
"532" 8.26 3.836 47.423
"533" 9.13 3.98 43.363
"534" 8.803 3.547 54.673
"535" 9.624 3.726 48.277
"536" 8.41 3.633 49.453
"537" 10.05 4.174 46.247
"538" 8.817 3.383 49.357
"539" 8.83 176.6 42.277
"540" 8.75 3.56 49.09
"541" 8.84 3.273 50.123
"542" 8.616 176.904 45.323
"543" 9.363 4.04 46.61
"544" 8.827 3.317 49.887
"545" 9.17 4.096 55.513
"546" 8.804 3.46 49.867
"547" 9.177 177.43 43.54
"548" 10.007 3.25 48.917
"NA.50" NA NA NA
"550" 9.077 3.193 41.607
"551" 9.624 3.763 48.357
"552" 9.804 3.57 43.777
"553" 9.486 3.817 57.623
"554" 8.904 3.426 43.507
"555" 8.92 3.493 49.52
"556" 12.37 16.713 29.713
"557" 8.35 3.616 50.713
"558" 9.103 3.89 46.8
"559" 8.77 3.29 44.4
"560" 9.49 3.696 47.583
"561" 9.9 3.583 42.293
"562" 8.98 3.103 40.56
"563" 8.703 3.747 43.723
"564" 13.02 46.26 57.507
"565" 8.74 3.643 43.563
"566" 9.037 3.376 43.92
"567" 9.77 3.457 50.937
"568" 19.684 6.74 32.817
"569" 9.297 5.686 50.92
"570" 9.317 3.13 45.96
"571" 8.967 3.243 49.197
"572" 9.887 3.433 44.9
"573" 9.64 3.696 41.483
"574" 9.56 3.737 48.76
"575" 8.71 3.483 38.3
"576" 9.46 3.834 51.127
"577" 8.56 3.62 45.64
"578" 9.843 3.673 43.763
"579" 9.863 3.457 43.363
"580" 9.17 176.297 44.587
"581" 8.6 3.493 102.3
"582" 8.574 3.5 44.237
"583" 9.4 3.78 41.437
"584" 8.973 3.19 47.053
"585" 8.337 3.643 43.647
"NA.51" NA NA NA
"587" 135.52 7.986 143.863
"588" 9.473 3.907 42.93
"589" 9.91 176.714 59.637
"590" 8.873 3.36 49.08
"591" 8.26 3.77 44.063
"592" 9.353 3.304 47.97
"593" 8.787 3.296 39.95
"594" 9.243 3.427 45.33
"595" 8.41 3.687 53.467
"NA.52" NA NA NA
"597" 9.66 3.507 52.137
"598" 8.213 4.183 40.943
"599" 8.553 2.897 39.71
"600" 8.54 3.44 48.83
"601" 8.783 3.413 44.833
"602" 8.254 3.84 59.387
"603" 8.557 3.653 54.02
"604" 8.65 3.423 43.15
"605" 8.556 3.757 50.063
"606" 10.25 3.023 53.273
"607" 7.83 3.25 59.313
"608" 8.757 4.386 39.93
"609" 8.833 3.257 41.56
"610" 8.456 3.707 49.983
"611" 8.434 3.683 41.647
"612" 10.817 3.663 46.807
"NA.53" NA NA NA
"614" 11.053 3.397 66.393
"615" 27.077 9.746 37.95
"616" 9.133 3.39 45.17
"617" 8.68 3.363 51.813
"618" 8.27 176.97 53.46
"619" 9.07 5.68 48
"620" 8.417 3.61 69.4
"621" 8.77 3.473 40.37
"622" 8.183 3.31 54.95
"623" 9.156 3.867 46.243
"624" 10.773 6.21 17.35
"625" 8.167 3.79 39.987
"626" 8.91 3.15 41.667
"627" 9.8 3.473 39.51
"628" 8.17 3.956 40.133
"629" 9.433 4.154 47.36
"630" 8.617 5.927 49.147
"631" 8.154 4.12 43.267
"632" 8.43 3.737 50.637
"633" 9.65 3.606 43.173
"634" 8.676 3.547 39.063
"635" 8.557 3.5 37.07
"NA.54" NA NA NA
"637" 9.153 4.087 48.56
"638" 8.437 3.603 48.75
"639" 80.303 7.15 99.083
"640" 7.64 6.054 14.607
"641" 8.463 4.034 53.12
"642" 8.986 3.184 51.673
"643" 8.844 3.396 49.777
"644" 8.62 6.13 46.003
"645" 8.584 3.37 44.667
"646" 8.524 3.763 46.137
"647" 8.423 3.847 50.29
"648" 8.38 3.877 56.49
"649" 9.126 4.244 52.563
"650" 8.674 3.493 51.457
"651" 11.463 3.68 43.113
"652" 8.523 5.767 44.2
"653" 8.45 3.99 42.007
"654" 9.083 4.447 41.113
"655" 80.347 7.86 98.477
"656" 8.67 3.857 51.107
"657" 8.387 3.556 47.75
"658" 8.72 176.456 43.833
"659" 8.463 3.47 55.75
"660" 8.883 3.853 40.153
"661" 9.15 3.473 44.413
"662" 8.96 3.14 46.007
"663" 83.703 6.557 105.87
"664" 10.057 3.476 43.81
"665" 8.737 3.593 60.81
"666" 8.684 4.59 45.797
"667" 8.31 3.97 38.66
"668" 8.643 3.36 49.683
"669" 8.524 3.443 45.487
"670" 8.427 4.103 52.62
"671" 8.27 3.876 53.543
"672" 7.834 3.816 53.427
"673" 8.064 3.64 39.097
"674" 8.043 3.497 46.563
"675" 8.49 3.47 50.31
"676" 7.497 6.107 12.907
"677" 9.037 3.513 56.24
"678" 9.34 3.72 61.58
"679" 8.356 3.657 40.353
"680" 9.507 3.7 49.78
"681" 10.184 3.97 47.357
"682" 8.167 3.73 41.42
"683" 7.847 7.64 15.75
"684" 8.726 4.894 48.813
"685" 8.146 7.557 15.373
"686" 97.393 18.773 117.523
"687" 9.207 3.97 47.317
"NA.55" NA NA NA
"689" 9.226 4.027 62.533
"690" 96.084 19.536 115.947
"691" 9.144 3.106 50.347
"692" 9.004 3.5 55.497
"693" 8.66 3.387 39.297
"694" 8.426 3.587 41.363
"695" 8.953 3.52 49.63
"696" 8.944 3.313 52.077
"697" 8.97 3.383 41.363
"698" 8.047 3.17 59.287
"699" 8.007 3.366 40.03
"700" 7.396 6.937 13.053
"701" 8.66 3.647 49.877
"702" 8.99 3.377 50.15
"703" 8.654 4.743 39.787
"704" 8.274 3.81 53.197
"705" 9.243 3.09 48.69
"706" 8.444 4.753 52.837
"707" 8.854 3.303 50.607
"708" 8.79 3.177 42.45
"709" 9.303 3.31 42.75
"710" 7.923 3.043 36.823
"711" 8.37 4.04 44.397
"712" 8.327 3.85 37.8
"713" 8.506 4 48.393
"714" 33.964 7.623 51.607
"715" 8.55 3.85 43.967
"716" 71.173 7.217 84.72
"717" 8.673 3.58 48.37
"718" 8.573 3.567 45.89
"719" 8.48 5.15 47.523
"720" 8.267 3.73 53.14
"NA.56" NA NA NA
"NA.57" NA NA NA
"723" 8.723 4.713 43.723
"724" 8.076 8.014 15.703
"725" 8.677 3.79 55.57
"726" 8.51 3.617 46.16
"727" 8.294 3.756 38.577
"NA.58" NA NA NA
"NA.59" NA NA NA
"730" 8.633 6.03 49.25
"NA.60" NA NA NA
"732" 9.283 3.863 54.303
"733" 9.577 3.73 44.547
"734" 8.807 177.693 53.58
"735" 9.36 3.337 66.727
"736" 8.824 5.663 62.857
"737" 8.557 3.513 48.01
"738" 8.74 3.39 43.953
"739" 8.797 4.603 49.31
"740" 9.017 3.326 40.06
"741" 8.633 3.54 50.11
"742" 8.5 3.787 53.737
"NA.61" NA NA NA
"744" 9.303 3.177 53.6
"745" 9.39 3.784 37.617
"746" 8.543 7.503 49.923
"747" 8.987 4.22 45.797
"748" 9.223 3.914 52.94
"NA.62" NA NA NA
"750" 9.213 4.057 38.28
"751" 8.913 3.56 41.39
"NA.63" NA NA NA
"NA.64" NA NA NA
"NA.65" NA NA NA
"755" 8.76 3.583 42.873
"756" 8.667 3.33 49.067
"757" 80.733 6.754 100.66
"758" 8.523 4.66 42.243
"759" 8.88 3.437 53.73
"760" 10.527 4.523 34.97
"NA.66" NA NA NA
"762" 10.377 4.083 46.507
"763" 8.48 4.693 39.733
"764" 79.496 7.69 96.773
"765" 9.49 3.677 38.74
"766" 8.81 3.267 49.51
"767" 10.044 4.22 51.027
"NA.67" NA NA NA
"769" 9.54 3.707 48.137
"770" 9.26 3.924 46.677
"771" 11.613 3.61 58.36
"NA.68" NA NA NA
"773" 9.384 3.59 43.617
"NA.69" NA NA NA
"775" 11.584 1.903 49.137
"776" 9.47 4.983 47.183
"777" 7.68 4.563 43.05
"778" 4.653 5.77 9.883
"779" 76.934 6.893 92.467
"780" 9.197 176.39 51.53
"NA.70" NA NA NA
"NA.71" NA NA NA
"783" 8.733 3.44 46.11
"784" 8.98 3.203 41.893
"785" 10.544 3.74 50.267
"786" 8.576 3.63 44.183
"NA.72" NA NA NA
"NA.73" NA NA NA
"789" 8.337 3.606 45.92
"790" 8.497 3.51 53.35
"791" 8.71 3.346 66.463
"792" 9.103 3.23 44.59
"793" 8.52 3.586 39.723
"794" 8.934 3.283 41.527
"795" 8.543 3.393 41.443
"796" 8.49 3.833 42.57
"NA.74" NA NA NA
"NA.75" NA NA NA
"799" 8.854 3.23 46.067
"800" 8.944 3.4 42.617
"801" 8.92 3.437 43.667
"NA.76" NA NA NA
"803" 8.87 3.703 44.24
