"","CapturedExperienceId","c1_BootToReadyForCredentials","c2_CredentialsEnteredToDesktop","c3_DesktopToIdle","totaltime","rounded_totaltime"
"237",282360,83.3081928,50.6709298,1.9,135.8791226,136
"241",282373,68.6839346,30.2694946,57.9,156.8534292,157
"242",282374,53.432557,8.9545782,9.7,72.0871352,72
"243",282377,29.5430424,55.9914873,1.9,87.4345297,87
"244",282383,38.9767853,18.1767158,1.9,59.0535011,59
"245",282385,36.7943252,10.319228,1.9,49.0135532,49
"246",282387,41.2433324,10.2079757,1.9,53.3513081,53
"247",282412,70.1431258,97.9168964,1.9,169.9600222,170
"248",282423,64.1778264,19.1009562,1.9,85.1787826,85
"250",282433,105.626705,15.1720429,1.9,122.6987479,123
"251",282434,46.469397,11.7403359,1.9,60.1097329,60
"254",282457,21.1521302,15.7966481,1.9,38.8487783,39
"257",282466,43.1659474,10.1144899,1.9,55.1804373,55
"258",282467,52.9171537,15.4400561,1.9,70.2572098,70
"261",282472,112.4273923,58.8409685,1.9,173.1683608,173
"263",282479,32.488641,11.5810344,1.9,45.9696754,46
"264",282486,33.5973432,8.802267,1.9,44.2996102,44
"266",282488,75.7152446,10.9402631,1.9,88.5555077,89
"268",282495,65.3301805,43.2733035,1.9,110.503484,111
"269",282497,33.6195196,46.1591308,1.9,81.6786504,82
"270",282498,49.9249327,18.6577059,1.9,70.4826386,70
"271",282509,37.375587,16.8986904,1.9,56.1742774,56
"275",282520,75.9398933,22.5889657,1.9,100.428859,100
"276",282521,132.2031933,15.6305744,1.9,149.7337677,150
"277",282522,33.3970912,12.1342092,1.9,47.4313004,47
"278",282523,42.9656916,13.636166,1.9,58.5018576,59
"284",282542,31.7435964,7.6795285,1.9,41.3231249,41
"289",282584,43.1651452,8.6312973,1.9,53.6964425,54
"290",282586,69.6722802,41.049749,1.9,112.6220292,113
"291",282588,69.3749084,37.3589918,1.9,108.6339002,109
"292",282589,118.0636989,32.5144258,1.9,152.4781247,152
"298",282602,82.5502264,16.8973896,1.9,101.347616,101
"300",282610,41.3641609,11.3822771,2.7,55.446438,55
"301",282612,63.3674557,41.5193884,17,121.8868441,122
"302",282632,45.7961962,32.06843,52.3,130.1646262,130
"305",282646,20.806539,12.5742198,1.9,35.2807588,35
"306",282648,21.44778,15.0866075,1.9,38.4343875,38
"307",282650,18.1624494,21.2881138,1.9,41.3505632,41
"308",282652,18.3112578,10.5762373,1.9,30.7874951,31
"310",282668,24.5373482,46.9610508,76.9,148.398399,148
"311",282670,55.8205785,37.9725581,1.9,95.6931366,96
"312",282673,116.7377971,13.1718073,1.9,131.8096044,132
"315",282678,167.28578,38.2537772,1.9,207.4395572,207
"316",282680,74.4583604,57.5964061,1.9,133.9547665,134
"317",282684,41.6317872,21.1538544,1.9,64.6856416,65
"320",282691,35.7701486,104.9887157,1.9,142.6588643,143
"322",282699,50.8840174,48.3357609,1.9,101.1197783,101
"323",282706,139.5674825,28.7507605,1.9,170.218243,170
"330",282770,105.8261713,25.6399973,1.9,133.3661686,133
"338",282798,102.1894854,75.4169711,62.4,240.0064565,240
"339",282803,123.9719627,101.8483312,1.9,227.7202939,228
"343",282833,39.1482418,15.6061016,1.9,56.6543434,57
"345",282837,101.6283877,13.7036452,82.1,197.4320329,197
"349",282848,41.4676926,11.6613516,1.9,55.0290442,55
"350",282849,33.9678311,11.2565283,1.9,47.1243594,47
"351",282850,61.4848988,44.3822512,1.9,107.76715,108
"352",282851,66.8436027,38.105674,1.9,106.8492767,107
"353",282852,73.4138684,45.586911,1.9,120.9007794,121
"354",282853,62.859306,42.5755977,1.9,107.3349037,107
"355",282854,59.9858202,40.3639656,1.9,102.2497858,102
"356",282855,27.4319827,83.486605,1.9,112.8185877,113
"357",282863,74.0437058,49.3513406,15.6,138.9950464,139
"358",282867,123.6513793,59.1063057,1.9,184.657685,185
"359",282868,198.137233,41.4592509,1.9,241.4964839,241
"365",282887,105.5064232,49.5090468,72.1,227.11547,227
"366",282889,96.9509341,48.1040698,1.9,146.9550039,147
"367",282892,106.7776907,17.2855429,1.9,125.9632336,126
"368",282894,28.7670255,34.9123067,1.9,65.5793322,66
"369",282896,97.4797472,88.6931014,73.2,259.3728486,259
"370",282897,110.7507603,15.9379994,11.9,138.5887597,139
"372",282903,64.6248105,45.2528646,1.9,111.7776751,112
"373",282906,81.5263511,28.2912594,1.9,111.7176105,112
"374",282909,59.0022514,43.8439114,1.9,104.7461628,105
"375",282910,84.060473,28.1902308,1.9,114.1507038,114
"376",282917,83.6683059,50.9860176,81.5,216.1543235,216
"377",282922,71.4811854,52.5937689,1.9,125.9749543,126
"380",282934,33.968505,9.6459081,1.9,45.5144131,46
"383",282940,90.2453676,53.6773145,87.9,231.8226821,232
"384",282941,136.3791417,12.6037355,52.2,201.1828772,201
"387",282964,60.7701065,79.148591,1.9,141.8186975,142
"389",282968,46.6795941,14.6732409,1.9,63.252835,63
"390",282969,116.4884423,83.1783997,1.9,201.566842,202
"391",282995,69.9010004,58.6280512,1.9,130.4290516,130
"392",283195,18.9742275,40.0875749,1.9,60.9618024,61
"397",283269,126.9254054,16.4007138,1.9,145.2261192,145
"399",283280,30.8434157,57.4987883,1.9,90.242204,90
"400",283282,26.1324598,88.5767297,1.9,116.6091895,117
"402",283292,90.4929115,44.8248435,1.9,137.217755,137
"403",283297,47.6378411,15.401686,1.9,64.9395271,65
"405",283313,71.5631704,57.1167491,1.9,130.5799195,131
"406",283316,43.057992,15.7715714,25,83.8295634,84
"407",283317,34.8783537,9.7869545,1.9,46.5653082,47
"408",283321,90.8924111,14.1545594,43.6,148.6469705,149
"409",283331,70.6551155,36.3440335,1.9,108.899149,109
"412",283346,28.3274274,54.9860738,51.1,134.4135012,134
"413",283367,142.1442317,65.8638647,1.9,209.9080964,210
"415",283377,74.8431203,54.0122549,15.6,144.4553752,144
"418",283386,75.8657458,50.2885884,1.9,128.0543342,128
"420",283401,30.4517582,8.07634500000001,1.9,40.4281032,40
"421",283405,36.9605147,13.017917,1.9,51.8784317,52
"422",283406,113.0273309,45.8966395,1.9,160.8239704,161
"423",283410,28.9973218,9.9560253,1.9,40.8533471,41
"424",283412,117.5540339,44.3934555,1.9,163.8474894,164
"425",283418,178.2185018,21.1000797,1.9,201.2185815,201
"428",283422,95.8585512,18.7791528,1.9,116.537704,117
"429",283423,70.2788695,41.7503026,1.9,113.9291721,114
"430",283424,87.9718471,23.6985395,1.9,113.5703866,114
"432",283435,22.9881778,59.0813999,1.9,83.9695777,84
"434",283446,152.2464751,30.1284966,1.9,184.2749717,184
"436",283451,57.1826174,38.9437393,1.9,98.0263567,98
"442",283497,38.6481058,53.8056738,54.1,146.5537796,147
"444",283520,105.9601501,61.7850901,1.9,169.6452402,170
"445",283533,71.2301785,20.5305858,1.9,93.6607643,94
"446",283534,106.4675258,60.5604029,1.9,168.9279287,169
"450",283552,43.2371164,10.0012706,1.9,55.138387,55
"452",283557,132.9914934,63.8164137,1.9,198.7079071,199
"453",283558,75.0880873,34.474248,1.9,111.4623353,111
"456",283565,84.274008,45.5509498,1.9,131.7249578,132
"459",283571,29.7352918,10.496156,6.8,47.0314478,47
"460",283572,45.8823766,22.8000114,57.3,125.982388,126
"464",283577,46.0679913,12.2691705,12.6,70.9371618,71
"466",283581,93.8967938,55.4571324,38.5,187.8539262,188
"468",283585,58.3054492,199.9888492,1.9,260.1942984,260
"469",283588,96.4208334,76.5453793,1.9,174.8662127,175
"473",283596,110.7006152,47.5321412,1.9,160.1327564,160
"477",283608,144.0099444,17.6857939,1.9,163.5957383,164
"478",283609,152.1949761,35.9088335,1.9,190.0038096,190
"479",283617,51.2743744,21.8079039,1.9,74.9822783,75
"480",283618,60.3261034,18.0560935,1.9,80.2821969,80
"481",283622,99.2390503,86.982873,1.9,188.1219233,188
"482",283623,96.8406265,20.4567529,1.9,119.1973794,119
"483",283639,86.2856147,44.7673003,1.9,132.952915,133
"484",283640,40.4790373,11.62351,10.1,62.2025473,62
"485",283653,178.3570507,36.3316539,90,304.6887046,305
"486",283655,102.8742183,16.4735663,1.9,121.2477846,121
"490",283686,80.9370026,62.4812483,1.9,145.3182509,145
"494",283718,42.1699828,10.8153236,1.9,54.8853064,55
"497",283741,45.3519987,10.3025825,1.9,57.5545812,58
"499",283743,93.0762028,20.0764275,1.9,115.0526303,115
"502",283748,71.7135609,37.8871128,1.9,111.5006737,112
"507",283767,63.8120391,19.0450727,1.9,84.7571118,85
"510",283772,36.5476376,63.4393996,2.5,102.4870372,102
"512",283785,69.4073769,11.1244597,1.9,82.4318366,82
"513",283793,33.4103132,75.4778916,1.9,110.7882048,111
"514",283794,25.6047607,2.8927971,1.9,30.3975578,30
"516",283804,57.9214045,21.1187294,1.9,80.9401339,81
"517",283806,25.6775719,8.4650399,5,39.1426118,39
"520",283816,63.1229188,44.1085374,1.9,109.1314562,109
"521",283817,76.2710118,40.5565644,1.9,118.7275762,119
"522",283820,94.9465577,17.1207061,1.9,113.9672638,114
"524",283823,160.5826411,78.7108418,1.9,241.1934829,241
"529",283844,37.6669048,10.1862611,1.9,49.7531659,50
"530",283845,87.7900137,49.1451816,1.9,138.8351953,139
"531",283849,51.8916794,20.2005004,1.9,73.9921798,74
"532",283852,95.6713902,58.1278439,1.9,155.6992341,156
"533",283856,33.3176505,35.0499062,1.9,70.2675567,70
"534",283861,25.768049,103.8013193,1.9,131.4693683,131
"536",283872,6.4865699,24.5317004,2.1,33.1182703,33
"538",283878,86.987872,46.4243635,1.9,135.3122355,135
"543",283886,68.1662184,26.9410311,1.9,97.0072495,97
"545",283890,24.5932582,6.9903505,25.8,57.3836087,57
"546",283892,31.4560826,11.3083078,9.2,51.9643904,52
"548",283894,82.7229481,68.2349846,1.9,152.8579327,153
"552",283900,47.0470487,18.9951093,1.9,67.942158,68
"555",283907,84.1933083,48.6238805,1.9,134.7171888,135
"556",283909,139.6417295,68.5297434,1.9,210.0714729,210
"557",283929,31.9696945,111.8056432,1.9,145.6753377,146
"558",283939,55.6662319,42.5094258,36.6,134.7756577,135
"559",284082,33.6414709,16.0654177,1.9,51.6068886,52
"560",284120,16.0134793,32.2805529,1.9,50.1940322,50
"561",284131,52.3720765,20.4814359,1.9,74.7535124,75
"562",284139,66.9294733,23.3535673,84.6,174.8830406,175
"563",284148,68.4102922,25.0419982,1.9,95.3522904,95
"564",284154,28.0792543,107.9683217,1.9,137.947576,138
"568",284184,163.2138348,46.2187434,1.9,211.3325782,211
"569",284187,8.1585761,3.7587582,1.9,13.8173343,14
"571",284201,8.2716752,3.2061382,6.5,17.9778134,18
"573",284211,110.6124757,57.2910261,1.9,169.8035018,170
"575",284231,73.3271256,15.5830786,73.5,162.4102042,162
"578",284243,61.9806952,26.0367714,1.9,89.9174666,90
"579",284245,76.0804752,13.0536177,1.9,91.0340929,91
"582",284255,19.6331253,6.5822708,1.9,28.1153961,28
"583",284256,19.1678855,13.9519014,1.9,35.0197869,35
"590",284322,43.2662919,11.8510432,1.9,57.0173351,57
"591",284323,32.2356467,8.6549453,1.9,42.790592,43
"592",284324,111.3882653,70.7741438,1.9,184.0624091,184
"595",284337,81.6108149,12.7495184,1.9,96.2603333,96
"596",284342,49.0943823,66.2161528,1.9,117.2105351,117
"598",284360,54.6954754,20.369981,1.9,76.9654564,77
"599",284363,68.4748235,18.3610414,1.9,88.7358649,89
"600",284364,51.6737863,15.2384949,1.9,68.8122812,69
"601",284365,71.7685485,21.4512364,1.9,95.1197849,95
"602",284368,56.2498166,17.4626258,1.9,75.6124424,76
"605",284376,130.6982958,71.9579079,1.9,204.5562037,205
"606",284384,120.4728742,66.7793702,1.9,189.1522444,189
"610",284423,71.2758919,34.6547565,1.9,107.8306484,108
"611",284424,52.5731568,17.1022844,1.9,71.5754412,72
"612",284428,61.8150053,44.1679566,1.9,107.8829619,108
"614",284446,59.4943251,17.5590786,1.9,78.9534037,79
"616",284450,86.3500302,63.4426156,1.9,151.6926458,152
"617",284456,40.1743124,15.2849134,38,93.4592258,93
"618",284467,56.6148364,28.9490517,1.9,87.4638881,87
"620",284480,59.1898444,21.1026173,68.7,148.9924617,149
"622",284495,23.8476454,25.7012813,57.5,107.0489267,107
"627",284536,21.0980135,68.1527699,1.9,91.1507834,91
"630",284556,42.7704006,17.4412387,1.9,62.1116393,62
"631",284557,49.9873134,10.2392782,1.9,62.1265916,62
"635",284591,71.8183514,37.8341279,1.9,111.5524793,112
"636",284593,159.2899997,42.2811292,1.9,203.4711289,203
"637",284594,72.8340789,24.2034704,1.9,98.9375493,99
"640",284621,93.9006694,18.2946116,77.2,189.395281,189
"644",284635,64.4499874,30.6410042,1.9,96.9909916,97
"645",284637,47.9989176,57.1287667,1.9,107.0276843,107
"648",284656,61.9735497,58.2007926,1.9,122.0743423,122
"653",284669,33.1654107,155.3389817,1.9,190.4043924,190
"654",284670,172.2438967,36.7199602,1.9,210.8638569,211
"656",284691,74.703834,21.941274,1.9,98.545108,99
"657",284693,97.3362733,89.2655805,1.9,188.5018538,189
"660",284705,60.8003976,15.7469561,1.9,78.4473537,78
"661",284707,95.7707492,43.5997592,1.9,141.2705084,141
"662",284709,151.5646466,67.524497,1.9,220.9891436,221
"664",284722,30.6533547,10.6428506,1.9,43.1962053,43
"665",284734,46.2755818,13.3773118,1.9,61.5528936,62
"669",284761,34.4501883,20.521581,1.9,56.8717693,57
"670",284771,60.0649687,12.5642131,64.9,137.5291818,138
"671",284780,21.9598365,61.8787391,1.9,85.7385756,86
"672",284784,92.7700349,51.6663387,1.9,146.3363736,146
"673",284801,78.2183022,100.9355884,1.9,181.0538906,181
"675",284809,61.107933,44.6731703,1.9,107.6811033,108
"676",284817,35.599718,16.2603001,1.9,53.7600181,54
"677",284821,66.3381182,20.6977525,1.9,88.9358707,89
"678",284822,86.6891784,73.5632092,1.9,162.1523876,162
"681",284827,53.0499261,63.5164804,1.9,118.4664065,118
"683",284833,82.0204857,51.6912985,1.9,135.6117842,136
"685",284846,81.9838471,63.4231598,80.8,226.2070069,226
"688",284851,110.5168114,60.767668,1.9,173.1844794,173
"689",284853,30.6808042,32.7822935,1.9,65.3630977,65
"690",284854,50.7753798,19.6727516,1.9,72.3481314,72
"691",284866,16.9306867,41.8249517,5.4,64.1556384,64
"694",284874,26.4439828,40.3990045,1.9,68.7429873,69
"695",284877,38.9392814,39.6975786,1.9,80.53686,81
"696",284879,50.2950509,10.6807254,1.9,62.8757763,63
"698",284885,29.2966287,8.0450635,1.9,39.2416922,39
"699",284894,22.0049117,11.5565734,1.9,35.4614851,35
"700",284895,29.195835,38.5778895,1.9,69.6737245,70
"701",284896,91.3336019,42.2341177,1.9,135.4677196,135
"702",284897,75.3620236,40.024627,1.9,117.2866506,117
"704",284899,45.565687,22.3417624,1.9,69.8074494,70
"706",284912,112.6976046,46.895537,1.9,161.4931416,161
"707",284917,96.1386658,55.0762321,1.9,153.1148979,153
"708",284925,69.7085235,45.5733406,1.9,117.1818641,117
"709",284926,44.613114,62.0070044,1.9,108.5201184,109
"710",284927,35.3761884,14.1009562,1.9,51.3771446,51
"711",284928,85.9002552,44.1909926,1.9,131.9912478,132
"712",284929,90.6678779,47.2463156,1.9,139.8141935,140
"717",284941,71.8536983,47.2874527,1.9,121.041151,121
"719",284944,99.1329008,105.6082411,1.9,206.6411419,207
"721",284947,42.5233443,9.9014621,1.9,54.3248064,54
"722",284949,36.7889785,7.6463822,1.9,46.3353607,46
"723",284951,32.1644404,20.6632468,1.9,54.7276872,55
"726",284961,45.4141786,13.4225979,1.9,60.7367765,61
"727",284962,37.0323655,12.2235576,1.9,51.1559231,51
"728",284963,56.9060255,11.7383979,43.2,111.8444234,112
"729",284964,44.0262097,20.1913027,14.9,79.1175124,79
"734",284977,52.3140332,20.536418,1.9,74.7504512,75
"735",284980,52.805774,14.1320519,1.9,68.8378259,69
"737",284988,38.2823853,11.2929553,1.9,51.4753406,51
"738",284990,28.1013571,9.5852902,1.9,39.5866473,40
"741",284998,116.4146985,52.678642,1.9,170.9933405,171
"742",284999,88.5350891,43.7241049,1.9,134.159194,134
"743",285001,102.5320046,54.1815567,1.9,158.6135613,159
"744",285022,66.1921533,43.4557882,15.4,125.0479415,125
"745",285031,53.3959852,21.9932299,16.3,91.6892151,92
"746",285046,46.9529569,17.4781846,1.9,66.3311415,66
"751",285082,81.4514591,14.4592039,1.9,97.810663,98
"752",285094,88.5439767,177.0963058,1.9,267.5402825,268
"757",285132,98.5234788,16.0865123,1.9,116.5099911,117
"758",285133,64.4857522,65.9986903,1.9,132.3844425,132
"761",285146,72.363364,15.7280384,1.9,89.9914024,90
"762",285147,60.285415,12.8082739,1.9,74.9936889,75
"768",285188,32.2130784,10.1416399,1.9,44.2547183,44
"770",285192,42.3931785,11.2291206,1.9,55.5222991,56
"773",285226,175.4158458,14.4523786,41.9,231.7682244,232
"774",285229,52.7408468,51.3728917,81.2,185.3137385,185
"775",285234,70.4852362,18.7444903,2.9,92.1297265,92
"777",285252,120.9073942,12.4190258,1.9,135.22642,135
"782",285271,58.5938062,13.5013129,1.9,73.9951191,74
"783",285299,120.059705,64.2123742,1.9,186.1720792,186
"785",285306,48.3135145,16.4322175,1.9,66.645732,67
"789",285327,45.2916298,9.6847331,1.9,56.8763629,57
"791",285339,156.0061059,17.2267173,44.2,217.4328232,217
"792",285344,82.7836238,44.6818763,31.5,158.9655001,159
"799",285366,64.0670023,21.0560215,1.9,87.0230238,87
"800",285376,66.3320495,16.9360875,90,173.268137,173
"804",285391,39.8119088,9.8881728,1.9,51.6000816,52
"805",285393,28.9477771,8.8906513,1.9,39.7384284,40
"806",285394,44.0217759,10.2496162,1.9,56.1713921,56
"808",285406,50.5373357,16.8283409,46.7,114.0656766,114
"809",285413,129.8304059,68.1056397,1.9,199.8360456,200
"810",285415,73.4175973,58.1371718,1.9,133.4547691,133
"811",285418,20.0077208,32.8365112,1.9,54.744232,55
"812",285426,50.8213572,17.4268271,46.2,114.4481843,114
"815",285434,48.6099367,15.6006199,1.9,66.1105566,66
"816",285438,72.5165582,27.0256858,1.9,101.442244,101
"817",285439,20.0945763,32.8050674,1.9,54.7996437,55
"818",285444,76.7443412,33.885446,70.9,181.5297872,182
"819",285461,47.1475547,24.7062713,1.9,73.753826,74
"822",285470,69.5882008,44.5983115,1.9,116.0865123,116
"823",285484,67.7655488,19.717116,67,154.4826648,154
"827",285491,70.6331053,25.8510485,1.9,98.3841538,98
"828",285498,51.923614,38.4529689,10.8,101.1765829,101
"832",285529,53.4723012,10.5819711,45.1,109.1542723,109
"833",285530,93.7028116,45.2483917,2.9,141.8512033,142
"836",285537,54.6474627,9.4839875,1.9,66.0314502,66
"837",285538,166.3029741,29.799268,1.9,198.0022421,198
"838",285544,67.7190761,13.2993777,11.2,92.2184538,92
"839",285545,65.1072589,42.0979684,3.9,111.1052273,111
"840",285547,17.3642443,49.9477788,1.9,69.2120231,69
"841",285551,91.9025186,15.4016073,1.9,109.2041259,109
"842",285556,78.936764,15.1103363,13.5,107.5471003,108
"843",285558,15.8242248,14.3333448,1.9,32.0575696,32
"845",285560,17.6921083,8.0880625,1.9,27.6801708,28
"846",285561,27.5963462,2.039783,1.9,31.5361292,32
"847",285562,18.8424119,10.5678755,1.9,31.3102874,31
"854",285586,21.5167508,18.4653235,21,60.9820743,61
"859",285597,134.8463306,37.2114643,1.9,173.9577949,174
"860",285598,111.8390269,24.9490437,1.9,138.6880706,139
"861",285599,52.9045285,56.932736,1.9,111.7372645,112
"862",285602,102.567874,27.8781824,8.2,138.6460564,139
"863",285603,126.0186616,25.0497911,8.3,159.3684527,159
"868",285650,201.5200416,36.8969459,1.9,240.3169875,240
"869",285655,11.530013,20.8557131,1.9,34.2857261,34
"870",285656,82.1818156,16.2101389,1.9,100.2919545,100
